Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2024-12-07;,8;25,6;
2024-12-08;30,2;26,8;
2024-12-09;1,6;27,3;
2024-12-10;14,2;27,1;
2024-12-11;48,4;25,9;
2024-12-12;72,6;27,7;
2024-12-13;1,4;27,4;
2024-12-14;2,4;27,9;
2024-12-15;2,6;27,9;
2024-12-16;,4;28,6;
2024-12-17;,6;27,6;
2024-12-18;12,8;27,1;
2024-12-19;15,6;26,5;
2024-12-20;17,8;28,3;
2024-12-21;0;28,1;
2024-12-22;5,6;27,8;
2024-12-23;30;28;
2024-12-24;1,8;27,9;
2024-12-25;7,8;27,2;
2024-12-26;44,4;27,6;
2024-12-27;10,2;27,8;
2024-12-28;14,6;27,1;
2024-12-29;2,2;25,1;
2024-12-30;18,6;27,2;
2024-12-31;0;27,5;

